Rank,Creator_URL,Creator,Creator1,Patrons,DaysRunning,Launched
131,https://graphtreon.com/creator/CloudMeadow,"Team Nimbus is creating Cloud Meadow, an adult monster-breeding game! (CloudMeadow)nsfw",Team Nimbus,4752,1501,Jul-16
132,https://graphtreon.com/creator/mccc_deaderpool,Deaderpool is creating MC Command Center Modules for Sims 4 (mccc_deaderpool),Deaderpool,4736,1350,Nov-16
133,https://graphtreon.com/creator/rustyquill,Rusty Quill is creating genre-fiction podcasts (rustyquill),Rusty Quill,4709,1232,Mar-17
134,https://graphtreon.com/creator/ChinaUncensored,China Uncensored is creating a satirical news show about China (ChinaUncensored),China Uncensored,4662,1854,Jul-15
135,https://graphtreon.com/creator/ResistanceLive,#ResistanceLive is creating Multimedia for the Resistance (ResistanceLive),#ResistanceLive,4660,1033,Oct-17
136,https://graphtreon.com/creator/veritasium,Veritasium is creating Science Videos (veritasium),Veritasium,4616,2650,May-13
137,https://graphtreon.com/creator/baciulisirramanauskas,"BaÄiulis Ir Ramanauskas is creating talk shows, podcasts (baciulisirramanauskas)",BaÄiulis Ir Ramanauskas,4585,646,Nov-18
138,https://graphtreon.com/creator/Majalis,"The Majalis Duo is creating Lewd Games, Art and Erotica (Majalis)nsfw",The Majalis Duo,4503,1914,May-15
139,https://graphtreon.com/creator/thedickshow,Dick Masterson is creating The Dick Show (thedickshow),Dick Masterson,4496,1526,Jun-16
140,https://graphtreon.com/creator/SomeMoreNews,"Some More News is creating Videos, podcasts, and more about the, um, news. (SomeMoreNews)",Some More News,4477,899,Feb-18
141,https://graphtreon.com/creator/mity,MITY is creating Four Elements Trainer (mity)nsfw,MITY,4471,1408,Oct-16
142,https://graphtreon.com/creator/seculartalk,Secular Talk with Kyle Kulinski is creating News & Political Commentary (seculartalk),Secular Talk with Kyle Kulinski,4467,1225,Apr-17
143,https://graphtreon.com/creator/yeahbutstill,"Yeah, But Still is creating More Shit (yeahbutstill)","Yeah, But Still",4454,859,Apr-18
144,https://graphtreon.com/creator/technologyconnections,Technology Connections is creating YouTube Videos (technologyconnections),Technology Connections,4453,1063,Sep-17
145,https://graphtreon.com/creator/skyrimtogether,The Together Team is creating Video games (skyrimtogether),The Together Team,4446,1138,Jun-17
146,https://graphtreon.com/creator/qanonanonymous,Qanon Anonymous is creating The Qanon Anonymous Podcast (qanonanonymous),Qanon Anonymous,4431,729,Aug-18
147,https://graphtreon.com/creator/NintendoForce,The Nintendo Force is creating Magazines with Posters! (NintendoForce),The Nintendo Force,4418,1670,Jan-16
148,https://graphtreon.com/creator/dmdave,DM Dave is creating all things Fifth Edition. (dmdave),DM Dave,4392,648,Nov-18
149,https://graphtreon.com/creator/neutralparty,Neutral Party is creating RPG Maps (neutralparty),Neutral Party,4381,859,Apr-18
150,https://graphtreon.com/creator/dtns,Daily Tech News Show is creating Podcasts (dtns),Daily Tech News Show,4377,2566,Aug-13
151,https://graphtreon.com/creator/user?u=7341716,Daily Tech News Show is creating Podcasts,Daily Tech News Show,4377,2566,Aug-13
152,https://graphtreon.com/creator/wtyppod,Well There's Your Problem Podcast is creating a podcast about engineering disasters and systemic failures (wtyppod),Well There's Your Problem Podcast,4372,271,Nov-19
153,https://graphtreon.com/creator/Chiusreading,è¶™æ°è®€æ›¸ç”Ÿæ´» is creating Teaching and knowledge sharing (Chiusreading),è¶™æ°è®€æ›¸ç”Ÿæ´»,4351,362,Aug-19
154,https://graphtreon.com/creator/JA,Amir and Jake is creating again. (JA),Amir and Jake,4318,666,Oct-18
155,https://graphtreon.com/creator/deadmeatjames,Dead Meat is creating Videos on YouTube (deadmeatjames),Dead Meat,4313,1178,May-17
156,https://graphtreon.com/creator/PrintableHeroes,PrintableHeroes is creating Paper Miniatures (PrintableHeroes),PrintableHeroes,4291,1947,Apr-15
157,https://graphtreon.com/creator/yaboyroshi,YaBoyRoshi is creating YouTube Content (yaboyroshi),YaBoyRoshi,4282,663,Oct-18
158,https://graphtreon.com/creator/watchwhatcrappens,Watch What Crappens is creating Podcasts! (watchwhatcrappens),Watch What Crappens,4251,2204,Jul-14
